PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,LastName,Title,OtherName,OtherNameExists,AgeBin,TicketPrefix,TicketNo,FareBin,CabinLevel,CabinQty,NoCabin
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,NA,S,Arnold-Franchi,Mrs,Josefine Franchi,TRUE,4,NA,349237,12,NA,NA,TRUE
51,0,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,NA,S,Panula,Master,NA,FALSE,2,NA,3101295,17,NA,NA,TRUE
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,NA,S,Nosworthy,Mr,NA,FALSE,6,A/4,39886,4,NA,NA,TRUE
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C,Harper,Mrs,Myna Haxtun,TRUE,18,PC,17572,18,D,1,FALSE
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,NA,S,Faunthorpe,Mrs,Elizabeth Anne Wilkinson,TRUE,11,NA,2926,14,NA,NA,TRUE
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,Ostby,Mr,NA,FALSE,20,NA,113509,18,B,1,FALSE
56,1,1,"Woolner, Mr. Hugh",male,NA,0,0,19947,35.5,C52,S,Woolner,Mr,NA,FALSE,NA,NA,19947,16,C,1,FALSE
57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,NA,S,Rugg,Miss,NA,FALSE,6,CA,31026,9,NA,NA,TRUE
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,NA,C,Novel,Mr,NA,FALSE,11,NA,2697,2,NA,NA,TRUE
59,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,NA,S,West,Miss,NA,FALSE,2,CA,34651,15,NA,NA,TRUE
60,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,NA,S,Goodwin,Master,NA,FALSE,2,CA,2144,17,NA,NA,TRUE
61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,NA,C,Sirayanian,Mr,NA,FALSE,7,NA,2669,2,NA,NA,TRUE
62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,NA,Icard,Miss,NA,FALSE,16,NA,113572,19,B,1,FALSE
63,0,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S,Harris,Mr,NA,FALSE,18,NA,36973,19,C,1,FALSE
64,0,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,NA,S,Skoog,Master,NA,FALSE,2,NA,347088,15,NA,NA,TRUE
65,0,1,"Stewart, Mr. Albert A",male,NA,0,0,PC 17605,27.7208,NA,C,Stewart,Mr,NA,FALSE,NA,PC,17605,15,NA,NA,TRUE
66,1,3,"Moubarek, Master. Gerios",male,NA,1,1,2661,15.2458,NA,C,Moubarek,Master,NA,FALSE,NA,NA,2661,11,NA,NA,TRUE
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S,Nye,Mrs,Elizabeth Ramell,TRUE,11,CA,29395,9,F,1,FALSE
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,NA,S,Crease,Mr,NA,FALSE,5,SP,3464,7,NA,NA,TRUE
69,1,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,NA,S,Andersson,Miss,NA,FALSE,4,NA,3101281,6,NA,NA,TRUE
70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,NA,S,Kink,Mr,NA,FALSE,9,NA,315151,7,NA,NA,TRUE
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,NA,S,Jenkin,Mr,NA,FALSE,13,CA,33111,9,NA,NA,TRUE
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,NA,S,Goodwin,Miss,NA,FALSE,3,CA,2144,17,NA,NA,TRUE
73,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,NA,S,Hood,Mr,NA,FALSE,6,SOC,14879,18,NA,NA,TRUE
74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,NA,C,Chronopoulos,Mr,NA,FALSE,9,NA,2680,11,NA,NA,TRUE
75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,NA,S,Bing,Mr,NA,FALSE,13,NA,1601,18,NA,NA,TRUE
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,Moen,Mr,NA,FALSE,9,NA,348123,3,F,1,FALSE
77,0,3,"Staneff, Mr. Ivan",male,NA,0,0,349208,7.8958,NA,S,Staneff,Mr,NA,FALSE,NA,NA,349208,5,NA,NA,TRUE
78,0,3,"Moutal, Mr. Rahamin Haim",male,NA,0,0,374746,8.05,NA,S,Moutal,Mr,NA,FALSE,NA,NA,374746,7,NA,NA,TRUE
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,NA,S,Caldwell,Master,NA,FALSE,1,NA,248738,15,NA,NA,TRUE
80,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,NA,S,Dowdell,Miss,NA,FALSE,12,NA,364516,9,NA,NA,TRUE
81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,9,NA,S,Waelens,Mr,NA,FALSE,7,NA,345767,8,NA,NA,TRUE
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,NA,S,Sheerlinck,Mr,NA,FALSE,11,NA,345779,8,NA,NA,TRUE
83,1,3,"McDermott, Miss. Brigdet Delia",female,NA,0,0,330932,7.7875,NA,Q,McDermott,Miss,NA,FALSE,NA,NA,330932,4,NA,NA,TRUE
84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,NA,S,Carrau,Mr,NA,FALSE,11,NA,113059,17,NA,NA,TRUE
85,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,NA,S,Ilett,Miss,NA,FALSE,4,SO/C,14885,9,NA,NA,TRUE
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,NA,S,Backstrom,Mrs,Maria Mathilda Gustafsson,TRUE,13,NA,3101278,11,NA,NA,TRUE
87,0,3,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,NA,S,Ford,Mr,NA,FALSE,3,W/C,6608,16,NA,NA,TRUE
88,0,3,"Slocovski, Mr. Selman Francis",male,NA,0,0,SOTON/OQ 392086,8.05,NA,S,Slocovski,Mr,NA,FALSE,NA,SOTON/OQ,392086,7,NA,NA,TRUE
89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,Fortune,Miss,NA,FALSE,7,NA,19950,20,C,3,FALSE
90,0,3,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,NA,S,Celotti,Mr,NA,FALSE,8,NA,343275,7,NA,NA,TRUE
91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,NA,S,Christmann,Mr,NA,FALSE,11,NA,343276,7,NA,NA,TRUE
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,NA,S,Andreasson,Mr,NA,FALSE,5,NA,347466,5,NA,NA,TRUE
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S,Chaffee,Mr,NA,FALSE,18,WEP,5734,18,E,1,FALSE
94,0,3,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,NA,S,Dean,Mr,NA,FALSE,9,CA,2315,12,NA,NA,TRUE
95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,NA,S,Coxon,Mr,NA,FALSE,20,NA,364500,2,NA,NA,TRUE
96,0,3,"Shorney, Mr. Charles Joseph",male,NA,0,0,374910,8.05,NA,S,Shorney,Mr,NA,FALSE,NA,NA,374910,7,NA,NA,TRUE
97,0,1,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,Goldschmidt,Mr,NA,FALSE,20,PC,17754,16,A,1,FALSE
98,1,1,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C,Greenfield,Mr,NA,FALSE,7,PC,17759,18,D,2,FALSE
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,NA,S,Doling,Mrs,Ada Julia Bone,TRUE,14,NA,231919,13,NA,NA,TRUE
100,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,26,NA,S,Kantor,Mr,NA,FALSE,14,NA,244367,14,NA,NA,TRUE
101,0,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,NA,S,Petranec,Miss,NA,FALSE,11,NA,349245,5,NA,NA,TRUE
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,NA,0,0,349215,7.8958,NA,S,Petroff,Mr,"""Pentcho""",TRUE,NA,NA,349215,5,NA,NA,TRUE
103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,White,Mr,NA,FALSE,6,NA,35281,18,D,1,FALSE
104,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,NA,S,Johansson,Mr,NA,FALSE,13,NA,7540,7,NA,NA,TRUE
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,NA,S,Gustafsson,Mr,NA,FALSE,15,NA,3101276,6,NA,NA,TRUE
106,0,3,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,NA,S,Mionoff,Mr,NA,FALSE,11,NA,349207,5,NA,NA,TRUE
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,NA,S,Salkjelsvik,Miss,NA,FALSE,6,NA,343120,3,NA,NA,TRUE
108,1,3,"Moss, Mr. Albert Johan",male,NA,0,0,312991,7.775,NA,S,Moss,Mr,NA,FALSE,NA,NA,312991,4,NA,NA,TRUE
109,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,NA,S,Rekic,Mr,NA,FALSE,16,NA,349249,5,NA,NA,TRUE
110,1,3,"Moran, Miss. Bertha",female,NA,1,0,371110,24.15,NA,Q,Moran,Miss,NA,FALSE,NA,NA,371110,13,NA,NA,TRUE
111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,Porter,Mr,NA,FALSE,18,NA,110465,17,C,1,FALSE
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,NA,C,Zabour,Miss,NA,FALSE,3,NA,2665,11,NA,NA,TRUE
113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,NA,S,Barton,Mr,NA,FALSE,7,NA,324669,7,NA,NA,TRUE
114,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,NA,S,Jussila,Miss,NA,FALSE,5,NA,4136,8,NA,NA,TRUE
115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,NA,C,Attalah,Miss,NA,FALSE,4,NA,2627,11,NA,NA,TRUE
116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,NA,S,Pekoniemi,Mr,NA,FALSE,6,STON/O 2,3101294,6,NA,NA,TRUE
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,NA,Q,Connors,Mr,NA,FALSE,20,NA,370369,4,NA,NA,TRUE
118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,NA,S,Turpin,Mr,NA,FALSE,11,NA,11668,12,NA,NA,TRUE
119,0,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,Baxter,Mr,NA,FALSE,8,PC,17558,20,B,2,FALSE
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,NA,S,Andersson,Miss,NA,FALSE,1,NA,347082,16,NA,NA,TRUE
121,0,2,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,NA,S,Hickman,Mr,NA,FALSE,6,SOC,14879,18,NA,NA,TRUE
122,0,3,"Moore, Mr. Leonard Charles",male,NA,0,0,A4. 54510,8.05,NA,S,Moore,Mr,NA,FALSE,NA,A4,54510,7,NA,NA,TRUE
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,NA,C,Nasser,Mr,NA,FALSE,13,NA,237736,15,NA,NA,TRUE
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,Webber,Miss,NA,FALSE,13,NA,27267,10,E,1,FALSE
125,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S,White,Mr,NA,FALSE,19,NA,35281,18,D,1,FALSE
126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,NA,C,Nicola-Yarred,Master,NA,FALSE,2,NA,2651,9,NA,NA,TRUE
127,0,3,"McMahon, Mr. Martin",male,NA,0,0,370372,7.75,NA,Q,McMahon,Mr,NA,FALSE,NA,NA,370372,4,NA,NA,TRUE
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,NA,S,Madsen,Mr,NA,FALSE,8,C,17369,1,NA,NA,TRUE
129,1,3,"Peter, Miss. Anna",female,NA,1,1,2668,22.3583,F E69,C,Peter,Miss,NA,FALSE,NA,NA,2668,13,F,1,FALSE
130,0,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,NA,S,Ekstrom,Mr,NA,FALSE,18,NA,347061,1,NA,NA,TRUE
131,0,3,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,NA,C,Drazenoic,Mr,NA,FALSE,13,NA,349241,5,NA,NA,TRUE
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,NA,S,Coelho,Mr,NA,FALSE,5,SOTON/OQ,3101307,1,NA,NA,TRUE
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,NA,S,Robins,Mrs,Grace Charity Laury,TRUE,18,A/5,3337,11,NA,NA,TRUE
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,NA,S,Weisz,Mrs,Mathilde Francoise Pede,TRUE,11,NA,228414,14,NA,NA,TRUE
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,NA,S,Sobey,Mr,NA,FALSE,9,CA,29178,10,NA,NA,TRUE
136,0,2,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,NA,C,Richard,Mr,NA,FALSE,7,SC/PARIS,2133,11,NA,NA,TRUE
137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,Newsom,Miss,NA,FALSE,5,NA,11752,14,D,1,FALSE
138,0,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,Futrelle,Mr,NA,FALSE,15,NA,113803,17,C,1,FALSE
139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,NA,S,Osen,Mr,NA,FALSE,3,NA,7534,8,NA,NA,TRUE
140,0,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,Giglio,Mr,NA,FALSE,8,PC,17593,19,B,1,FALSE
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,NA,0,2,2678,15.2458,NA,C,Boulos,Mrs,Sultana,TRUE,NA,NA,2678,11,NA,NA,TRUE
142,1,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,NA,S,Nysten,Miss,NA,FALSE,7,NA,347081,4,NA,NA,TRUE
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,NA,S,Hakkarainen,Mrs,Elin Matilda Dolck,TRUE,8,STON/O2,3101279,11,NA,NA,TRUE
144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,NA,Q,Burke,Mr,NA,FALSE,5,NA,365222,1,NA,NA,TRUE
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,NA,S,Andrew,Mr,NA,FALSE,4,NA,231945,9,NA,NA,TRUE
146,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,NA,S,Nicholls,Mr,NA,FALSE,5,CA,33112,16,NA,NA,TRUE
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,NA,S,Andersson,Mr,"""Wennerstrom""",TRUE,10,NA,350043,4,NA,NA,TRUE
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,NA,S,Ford,Miss,NA,FALSE,2,W/C,6608,16,NA,NA,TRUE
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S,Navratil,Mr,"""Louis M Hoffman""",TRUE,15,NA,230080,14,F,1,FALSE
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,NA,S,Byles,Rev,NA,FALSE,17,NA,244310,10,NA,NA,TRUE
151,0,2,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,NA,S,Bateman,Rev,NA,FALSE,19,SOP,1166,9,NA,NA,TRUE
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,Pears,Mrs,Edith Wearne,TRUE,7,NA,113776,18,C,1,FALSE
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,NA,S,Meo,Mr,NA,FALSE,19,A5,11206,7,NA,NA,TRUE
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,NA,S,van Billiard,Mr,NA,FALSE,16,A/5,851,11,NA,NA,TRUE
155,0,3,"Olsen, Mr. Ole Martin",male,NA,0,0,Fa 265302,7.3125,NA,S,Olsen,Mr,NA,FALSE,NA,Fa,265302,2,NA,NA,TRUE
156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,NA,C,Williams,Mr,NA,FALSE,19,PC,17597,18,NA,NA,TRUE
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,NA,Q,Gilnagh,Miss,NA,FALSE,3,NA,35851,3,NA,NA,TRUE
158,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,NA,S,Corn,Mr,NA,FALSE,12,SOTON/OQ,392090,7,NA,NA,TRUE
